dimension,function,solver,algorithm,obj_mean,obj_min,obj_max,time_mean,time_min,time_max,num_seeds,num_timeout
100,Levy,gurobi,gurobi,-4.562943857307485e-07,-4.562943857307485e-07,-4.562943857307485e-07,11.9153892993927,11.473904132843018,12.292552947998047,5,0
100,Levy,scipy,basinhopping,66073.26796875,62133.43359375,70076.671875,13.4703369140625,11.434943914413452,16.769771099090576,5,0
100,Levy,scipy,differential_evolution,66181.45390625,64367.28125,67642.53125,1388.0012724399567,1288.5710792541504,1514.4556670188904,5,0
100,Levy,scipy,direct,53158.28515625,53158.28515625,53158.28515625,7.219746685028076,5.956665992736816,10.845011711120605,5,0
100,Levy,scipy,dual_annealing,16361.385546875,16361.3828125,16361.38671875,373.8200095176697,234.40865087509155,735.6816091537476,5,0
100,Levy,scipy,shgo,,,,7200.186158752442,7200.117646694183,7200.215184926987,5,5
200,Levy,gurobi,gurobi,-4.124202380536086e-07,-4.1242023805360866e-07,-4.1242023805360866e-07,7.737715768814087,7.437635183334351,7.993144989013672,5,0
200,Levy,scipy,basinhopping,699468.45,661939.8125,734013.3125,26.83174285888672,22.127060174942017,31.28824472427368,5,0
200,Levy,scipy,differential_evolution,656254.1375,649342.25,665887.0,3390.0278040885923,3045.266310930252,4201.712123394012,5,0
200,Levy,scipy,direct,622300.0,622300.0,622300.0,12.427937555313111,10.749344110488892,16.342057704925537,5,0
200,Levy,scipy,dual_annealing,148152.81875,148073.96875,148253.28125,732.2029728889465,565.5901730060577,866.5953221321106,5,0
200,Levy,scipy,shgo,,,,7200.192151021957,7200.180785655975,7200.2013165950775,5,5
