solver,algorithm,dimension,hidden_size,nn_fname,seed,x,obj_val,time_elapsed,timeout_reached
scipy,basinhopping,2,16,nn_one_layer_ackley_2_16,0,"[3.8921295408305743, 11.581883957817544]",18.515703201293945,2.5057907104492188,False
scipy,basinhopping,2,16,nn_one_layer_ackley_2_16,1,"[-3.80470615411847, 9.129294999979951]",15.886198997497559,2.7895596027374268,False
scipy,basinhopping,2,16,nn_one_layer_ackley_2_16,2,"[-2.9515114335607686, -30.509983781736977]",22.100772857666016,2.8422091007232666,False
scipy,basinhopping,2,16,nn_one_layer_ackley_2_16,3,"[0.6111341360353965, 8.185782187358598]",14.872093200683594,2.3626480102539062,False
scipy,basinhopping,2,16,nn_one_layer_ackley_2_16,4,"[29.1431824512606, 7.0182810272130824]",21.675371170043945,2.5860252380371094,False
scipy,brute,2,16,nn_one_layer_ackley_2_16,0,"[0.6543061931107113, -0.07545062987912676]",8.816601753234863,2.785540819168091,False
scipy,brute,2,16,nn_one_layer_ackley_2_16,1,"[0.6543061931107113, -0.07545062987912676]",8.816601753234863,2.723691463470459,False
scipy,brute,2,16,nn_one_layer_ackley_2_16,2,"[0.6543061931107113, -0.07545062987912676]",8.816601753234863,2.6370294094085693,False
scipy,brute,2,16,nn_one_layer_ackley_2_16,3,"[0.6543061931107113, -0.07545062987912676]",8.816601753234863,2.6376235485076904,False
scipy,brute,2,16,nn_one_layer_ackley_2_16,4,"[0.6543061931107113, -0.07545062987912676]",8.816601753234863,2.6670284271240234,False
scipy,differential_evolution,2,16,nn_one_layer_ackley_2_16,0,"[0.6403498144036057, -0.041092322204716765]",8.82030963897705,2.6185779571533203,False
scipy,differential_evolution,2,16,nn_one_layer_ackley_2_16,1,"[0.641390699594478, -0.06948622305631216]",8.820025444030762,2.808304786682129,False
scipy,differential_evolution,2,16,nn_one_layer_ackley_2_16,2,"[0.636277927036288, 0.03588130623414327]",8.821816444396973,2.884643793106079,False
scipy,differential_evolution,2,16,nn_one_layer_ackley_2_16,3,"[0.6923645170219025, -0.08981645386214586]",8.820290565490723,2.722992181777954,False
scipy,differential_evolution,2,16,nn_one_layer_ackley_2_16,4,"[0.6675098441421214, -0.06783611548098634]",8.81826114654541,2.7513015270233154,False
scipy,direct,2,16,nn_one_layer_ackley_2_16,0,"[0.6548161696218457, -0.07547033819371052]",8.816657066345215,5.461331367492676,False
scipy,direct,2,16,nn_one_layer_ackley_2_16,1,"[0.6548161696218457, -0.07547033819371052]",8.816657066345215,5.734688758850098,False
scipy,direct,2,16,nn_one_layer_ackley_2_16,2,"[0.6548161696218457, -0.07547033819371052]",8.816657066345215,5.766509294509888,False
scipy,direct,2,16,nn_one_layer_ackley_2_16,3,"[0.6548161696218457, -0.07547033819371052]",8.816657066345215,5.771032810211182,False
scipy,direct,2,16,nn_one_layer_ackley_2_16,4,"[0.6548161696218457, -0.07547033819371052]",8.816657066345215,5.592674255371094,False
scipy,dual_annealing,2,16,nn_one_layer_ackley_2_16,0,"[0.6543653643886671, -0.07534971064718832]",8.816610336303711,11.85279893875122,False
scipy,dual_annealing,2,16,nn_one_layer_ackley_2_16,1,"[0.6544368565203627, -0.07555835602774152]",8.816618919372559,13.210875034332275,False
scipy,dual_annealing,2,16,nn_one_layer_ackley_2_16,2,"[0.6547674991723511, -0.07566809367887117]",8.816645622253418,13.217789888381958,False
scipy,dual_annealing,2,16,nn_one_layer_ackley_2_16,3,"[0.6543196549440893, -0.07540562201273815]",8.816604614257812,13.561691999435425,False
scipy,dual_annealing,2,16,nn_one_layer_ackley_2_16,4,"[0.6542818681101892, -0.07490176664452974]",8.81661605834961,13.355823278427124,False
scipy,shgo,2,16,nn_one_layer_ackley_2_16,0,"[0.0, 0.0]",9.05265998840332,2.088338851928711,False
scipy,shgo,2,16,nn_one_layer_ackley_2_16,1,"[0.0, 0.0]",9.05265998840332,2.231487512588501,False
scipy,shgo,2,16,nn_one_layer_ackley_2_16,2,"[0.0, 0.0]",9.05265998840332,2.2270519733428955,False
scipy,shgo,2,16,nn_one_layer_ackley_2_16,3,"[0.0, 0.0]",9.05265998840332,2.198301076889038,False
scipy,shgo,2,16,nn_one_layer_ackley_2_16,4,"[0.0, 0.0]",9.05265998840332,2.182363986968994,False
scipy,basinhopping,2,16,nn_one_layer_levy_2_16,0,"[1.0711486785827473, 0.43393202079856197]",-0.551064133644104,2.535311222076416,False
scipy,basinhopping,2,16,nn_one_layer_levy_2_16,1,"[0.9919138206702538, 0.4342888343242297]",-0.5499970316886902,2.5811188220977783,False
scipy,basinhopping,2,16,nn_one_layer_levy_2_16,2,"[1.0787232032461866, -4.2108328819075975]",2.3574509620666504,2.794177532196045,False
scipy,basinhopping,2,16,nn_one_layer_levy_2_16,3,"[1.041669294005048, 0.28668153811377484]",-0.551064133644104,2.6164636611938477,False
scipy,basinhopping,2,16,nn_one_layer_levy_2_16,4,"[0.8344544607335009, 0.947453301928718]",-0.3345249891281128,2.537083864212036,False
scipy,brute,2,16,nn_one_layer_levy_2_16,0,"[0.7401315789473659, 0.3026315789473675]",-0.551064133644104,2.5840373039245605,False
scipy,brute,2,16,nn_one_layer_levy_2_16,1,"[0.7401315789473659, 0.3026315789473675]",-0.551064133644104,2.7064971923828125,False
scipy,brute,2,16,nn_one_layer_levy_2_16,2,"[0.7401315789473659, 0.3026315789473675]",-0.551064133644104,2.5568723678588867,False
scipy,brute,2,16,nn_one_layer_levy_2_16,3,"[0.7401315789473659, 0.3026315789473675]",-0.551064133644104,2.5359573364257812,False
scipy,brute,2,16,nn_one_layer_levy_2_16,4,"[0.7401315789473659, 0.3026315789473675]",-0.551064133644104,2.5802557468414307,False
scipy,differential_evolution,2,16,nn_one_layer_levy_2_16,0,"[0.8763357963566132, 0.33556474815411574]",-0.551064133644104,2.5350565910339355,False
scipy,differential_evolution,2,16,nn_one_layer_levy_2_16,1,"[1.0986610892322357, 0.3088542983809628]",-0.551064133644104,2.679743766784668,False
scipy,differential_evolution,2,16,nn_one_layer_levy_2_16,2,"[0.975438038549179, 0.38109759536334664]",-0.551064133644104,2.5060575008392334,False
scipy,differential_evolution,2,16,nn_one_layer_levy_2_16,3,"[1.0247988050565437, 0.20609470435176247]",-0.551064133644104,2.6262810230255127,False
scipy,differential_evolution,2,16,nn_one_layer_levy_2_16,4,"[1.0140067851842605, 0.18272760172140634]",-0.551064133644104,2.7607829570770264,False
scipy,direct,2,16,nn_one_layer_levy_2_16,0,"[0.7407407407407405, 0.24691358024691468]",-0.551064133644104,5.310929775238037,False
scipy,direct,2,16,nn_one_layer_levy_2_16,1,"[0.7407407407407405, 0.24691358024691468]",-0.551064133644104,5.396376848220825,False
scipy,direct,2,16,nn_one_layer_levy_2_16,2,"[0.7407407407407405, 0.24691358024691468]",-0.551064133644104,5.390793800354004,False
scipy,direct,2,16,nn_one_layer_levy_2_16,3,"[0.7407407407407405, 0.24691358024691468]",-0.551064133644104,5.365718364715576,False
scipy,direct,2,16,nn_one_layer_levy_2_16,4,"[0.7407407407407405, 0.24691358024691468]",-0.551064133644104,5.483335494995117,False
scipy,dual_annealing,2,16,nn_one_layer_levy_2_16,0,"[1.095472748229895, 0.3034510369616328]",-0.551064133644104,10.55406641960144,False
