function,solver,algorithm,dimension,seed,x,obj_val,time_elapsed,timeout_reached
Ackley,gurobi,gurobi,10,0,"[0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, -0.3840000000000007]",1.0426446649807382,0.013975143432617188,False
Ackley,gurobi,gurobi,10,1,"[0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, -0.3840000000000007]",1.0426446649807382,0.017745018005371094,False
Ackley,gurobi,gurobi,10,2,"[0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, -0.3840000000000007]",1.0426446649807382,0.0670468807220459,False
Ackley,gurobi,gurobi,10,3,"[0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, -0.3840000000000007]",1.0426446649807382,0.03932905197143555,False
Ackley,gurobi,gurobi,10,4,"[0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, 0.23199999999999776, -0.3840000000000007]",1.0426446649807382,0.07141709327697754,False
Ackley,scipy,basinhopping,10,0,"[2.127156637298649, 11.959324625020706, 10.847182923021592, -2.075536520905007, -5.9250774511222435, 6.837019325024443, -6.065624090079346, 26.013177925874015, 27.479777198421946, -3.193221342582085]",19.594139099121094,2.9472105503082275,False
Ackley,scipy,basinhopping,10,1,"[-3.93189018364025, 12.488464699703568, -34.87221627682618, -12.376976127963152, -21.86155519783461, -25.981076388180085, -22.195498943138602, -9.976196452389328, -7.042077709962927, 2.9953759247887373]",20.583274841308594,2.820788860321045,False
Ackley,scipy,basinhopping,10,2,"[-4.209088383145652, -30.75859918465804, 1.7414718800073614, -5.570546811783987, -4.054985549467924, -10.973276049271451, -20.000459360554505, 8.067550441328416, -13.268335225145341, -16.07605275268611]",20.07815170288086,3.2416481971740723,False
Ackley,scipy,basinhopping,10,3,"[1.9603324961447777, 14.940744654772413, -11.0406826365232, 1.9488589512255095, 23.688000323578905, 26.887129427849167, -24.47254474837734, -20.980156322088686, -25.724854800945725, -8.134720970529537]",20.617446899414062,2.354912281036377,False
Ackley,scipy,basinhopping,10,4,"[31.765583825595154, 2.8804734628529003, 31.226842932877965, 15.937490604193282, 11.173694515702309, -18.97423216193957, 31.917844661270138, -31.21196316869671, -18.358236797427363, -3.9672948373511625]",20.88107681274414,2.954259157180786,False
Ackley,scipy,differential_evolution,10,0,"[2.2335624089464547e-07, -1.4319223191705533e-07, 3.8060822407715023e-07, -3.556217561708763e-07, -7.169601776695345e-07, 2.3005506227491425e-07, 8.630703086964786e-07, 1.0719811034505256e-06, 7.79019705078099e-07, -1.1091386295447592e-06]",9.5367431640625e-07,40.93370032310486,False
Ackley,scipy,differential_evolution,10,1,"[-1.0637987252266612e-06, -4.6680868399562314e-07, 8.465610590064898e-07, -9.197678009513766e-07, -2.3046195565257222e-07, 1.5161511691985652e-07, -1.0275057720718905e-06, 9.658127237344161e-08, -1.612771666259505e-08, 1.0764675753307528e-06]",9.5367431640625e-07,31.70561718940735,False
