dimension,function,solver,algorithm,obj_mean,obj_min,obj_max,time_mean,time_min,time_max,num_seeds,num_timeout
10,Ackley,gurobi,gurobi,0.5213166112003087,-1.1442580120757384e-05,1.0426446649807382,0.028791379928588868,0.00819087028503418,0.07141709327697754,10,0
10,Ackley,scipy,basinhopping,20.35081787109375,19.594139099121094,20.88107681274414,2.8637638092041016,2.354912281036377,3.2416481971740723,5,0
10,Ackley,scipy,differential_evolution,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,35.7621835231781,20.978366136550903,43.80222725868225,5,0
10,Ackley,scipy,direct,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,2.0371055126190187,1.8723413944244385,2.143688440322876,5,0
10,Ackley,scipy,dual_annealing,0.00042400360107421877,0.00027751922607421875,0.0006971359252929688,19.56839485168457,14.712696552276611,32.81620669364929,5,0
10,Ackley,scipy,shgo,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,139.64776639938356,118.60596752166748,165.37112307548523,5,0
10,Levy,gurobi,gurobi,3.6267512097287318,-2.5011267881651467e-06,7.253504920584251,0.7488239288330079,0.04670596122741699,1.6246280670166016,10,0
10,Levy,scipy,basinhopping,22.413826847076415,7.97512674331665,34.31706619262695,4.13899941444397,3.700005531311035,4.351143836975098,5,0
10,Levy,scipy,differential_evolution,7.684822288071825e-15,7.66532037090083e-15,7.713235330661112e-15,51.50860466957092,48.664711475372314,54.141780376434326,5,0
10,Levy,scipy,direct,0.13359348475933075,0.13359348475933075,0.13359348475933075,2.6930213451385496,2.5828707218170166,2.814983606338501,5,0
10,Levy,scipy,dual_annealing,7.287957095453156e-11,8.981958406206747e-12,1.599512466921027e-10,41.47891750335693,36.6948184967041,44.86740493774414,5,0
10,Levy,scipy,shgo,1.442601203918457,1.442601203918457,1.442601203918457,298.48663396835326,291.7611153125763,300.20504331588745,5,4
10,Michalewicz,gurobi,gurobi,-9.568759498737787,-9.77279260995416,-9.364726387521413,0.3995732307434082,0.2552940845489502,0.555305004119873,10,0
10,Michalewicz,scipy,basinhopping,-2.7329046726226807,-3.4387099742889404,-2.25285005569458,3.018806505203247,2.558018445968628,3.3462164402008057,5,0
10,Michalewicz,scipy,differential_evolution,-9.48449935913086,-9.565300941467285,-9.386163711547852,16.14534134864807,11.283044576644897,21.628814697265625,5,0
10,Michalewicz,scipy,direct,-7.608747482299805,-7.608747482299805,-7.608747482299805,1.9186046123504639,1.8365139961242676,1.9852068424224854,5,0
10,Michalewicz,scipy,dual_annealing,-9.660064888000488,-9.660097122192383,-9.6600341796875,12.38091459274292,11.820146560668945,13.11742615699768,5,0
10,Michalewicz,scipy,shgo,-3.0048828125,-3.0048828125,-3.0048828125,121.95295600891113,114.6089539527893,133.75714206695557,5,0
50,Ackley,gurobi,gurobi,0.5209793250441841,-0.0006147363712827314,1.042573386459651,0.06980242729187011,0.0083160400390625,0.1349170207977295,10,0
50,Ackley,scipy,basinhopping,20.824951171875,20.55767059326172,21.00369644165039,5.227122592926025,3.8030669689178467,6.95273756980896,5,0
50,Ackley,scipy,differential_evolution,20.32276153564453,20.01983642578125,20.60330581665039,2.912870264053345,2.6114354133605957,3.5386273860931396,5,0
50,Ackley,scipy,direct,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,2.147221088409424,1.990046501159668,2.268164873123169,5,0
50,Ackley,scipy,dual_annealing,0.0011610031127929688,0.0009508132934570312,0.0012903213500976562,75.73344616889953,69.44757556915283,83.84367680549622,5,0
50,Ackley,scipy,shgo,,,,300.17212519645693,300.15966510772705,300.18109679222107,5,5
50,Levy,gurobi,gurobi,12.92074694477203,-2.9934853353150968e-06,25.841496883029397,1.5305425882339478,0.09909987449645996,3.0706160068511963,10,0
50,Levy,scipy,basinhopping,229.6694549560547,155.5429229736328,285.95068359375,11.894652605056763,10.877522945404053,12.859776735305786,5,0
50,Levy,scipy,differential_evolution,1.1524466753601263,2.9764102293938777e-10,4.028648853302002,296.9345583438873,281.6216187477112,301.8433446884155,5,4
50,Levy,scipy,direct,5.076383113861084,5.076383113861084,5.076383113861084,2.2401891708374024,2.1081905364990234,2.3989639282226562,5,0
50,Levy,scipy,dual_annealing,1.7788459767686948e-10,1.475986173560262e-11,4.094787842134906e-10,240.38104729652406,234.0204155445099,248.26003289222717,5,0
50,Levy,scipy,shgo,,,,300.17234773635863,300.15965032577515,300.19181656837463,5,5
50,Michalewicz,gurobi,gurobi,-49.567822438312774,-49.64732433429177,-49.48832054233378,1.7550002813339234,1.0346381664276123,2.430938959121704,10,0
50,Michalewicz,scipy,basinhopping,-8.398158264160156,-8.78033447265625,-8.057598114013672,22.85328903198242,13.135701179504395,29.525874614715576,5,0
50,Michalewicz,scipy,differential_evolution,-20.70477752685547,-21.195608139038086,-19.519514083862305,285.6137285232544,259.7155055999756,300.3000547885895,5,1
50,Michalewicz,scipy,direct,-18.197635650634766,-18.197635650634766,-18.197635650634766,2.4381158351898193,2.1744723320007324,2.671257257461548,5,0
50,Michalewicz,scipy,dual_annealing,-49.564788055419925,-49.58091735839844,-49.546409606933594,60.13318781852722,55.44820547103882,71.25008153915405,5,0
50,Michalewicz,scipy,shgo,,,,300.1651846885681,300.0790801048279,300.20831990242004,5,5
100,Ackley,gurobi,gurobi,0.5208072168799411,-0.001051626842958342,1.0426660606028406,0.15513300895690918,0.01127481460571289,0.3160889148712158,10,0
100,Ackley,scipy,basinhopping,20.969529724121095,20.82579803466797,21.120792388916016,11.136277103424073,8.186057329177856,14.435031175613403,5,0
